draw_date,main_1,main_2,main_3,main_4,main_5,euro_1,euro_2
2018-01-05,2,7,38,40,45,7,10
2018-01-12,16,17,25,40,44,2,9
2018-01-19,3,9,17,45,47,4,9
2018-01-26,10,23,26,29,35,3,5
2018-02-02,15,24,29,33,41,7,8
2018-02-09,7,8,24,34,46,4,8
2018-02-16,4,8,19,25,44,9,10
2018-02-23,18,26,33,42,46,4,10
2018-03-02,16,18,20,27,46,3,5
2018-03-09,15,23,28,33,36,4,7
2018-03-16,4,27,37,48,49,3,4
2018-03-23,4,14,22,33,42,1,10
2018-03-30,5,15,17,29,32,5,7
2018-04-06,6,8,16,23,50,4,8
2018-04-13,3,10,21,25,34,7,10
2018-04-20,22,24,25,28,46,2,4
2018-04-27,9,21,31,32,33,9,10
2018-05-04,24,26,29,36,49,3,6
2018-05-11,3,14,17,37,39,5,10
2018-05-18,1,11,23,41,44,2,8
2018-05-25,15,31,35,40,46,3,8
2018-06-01,14,19,21,30,32,4,7
2018-06-08,5,13,22,36,39,9,10
2018-06-15,1,5,7,9,21,3,10
2018-06-22,16,24,33,35,43,6,7
2018-06-29,9,18,30,47,48,4,6
2018-07-06,2,7,24,38,45,5,8
2018-07-13,13,14,21,34,46,2,5
2018-07-20,13,33,40,42,43,7,9
2018-07-27,2,22,40,43,50,3,8
2018-08-03,4,8,12,25,31,7,8
2018-08-10,4,15,17,21,23,6,7
2018-08-17,2,12,32,43,44,3,4
2018-08-24,8,25,26,38,48,6,9
2018-08-31,3,6,9,18,24,2,7
2018-09-07,4,7,28,36,43,1,6
2018-09-14,24,33,35,46,49,5,9
2018-09-21,5,8,16,42,46,2,10
2018-09-28,3,8,13,18,40,6,10
2018-10-05,12,15,32,44,49,5,7
2018-10-12,6,26,31,42,50,2,9
2018-10-19,9,12,28,32,48,7,8
2018-10-26,18,19,33,38,44,4,10
2018-11-02,5,17,27,33,42,9,10
2018-11-09,8,32,34,46,49,3,5
2018-11-16,13,15,18,39,45,5,6
2018-11-23,17,22,28,31,46,5,10
2018-11-30,18,22,35,36,41,3,4
2018-12-07,4,16,21,31,42,4,6
2018-12-14,4,14,24,26,30,9,10
2018-12-21,3,16,20,34,49,2,10
2018-12-28,19,24,31,38,40,7,10
2019-01-04,3,10,25,32,43,1,3
2019-01-11,6,12,35,39,49,4,9
2019-01-18,2,9,23,36,47,2,9
2019-01-25,24,25,28,35,48,4,8
