draw_idx,number,freq_short,freq_medium,freq_long,freq_all,freq_trend,gap_since_last,recency_weighted,pair_score,triplet_score,adjacent_flag,is_odd,is_low,target
1,1,0,0,0,0,0.0,1,0.0,0,0,0,1,1,0
1,2,0,0,0,0,0.0,1,0.0,0,0,0,0,1,1
1,3,0,0,0,0,0.0,1,0.0,0,0,0,1,1,0
1,4,0,0,0,0,0.0,1,0.0,0,0,0,0,1,0
1,5,0,0,0,0,0.0,1,0.0,0,0,0,1,1,0
1,6,0,0,0,0,0.0,1,0.0,0,0,1,0,1,0
1,7,1,1,1,1,0.08,1,1.0,1,0,0,1,0,0
1,8,0,0,0,0,0.0,1,0.0,0,0,1,0,0,0
1,9,0,0,0,0,0.0,1,0.0,0,0,1,1,0,1
1,10,1,1,1,1,0.08,1,1.0,1,0,0,0,0,0
1,11,0,0,0,0,0.0,1,0.0,0,0,1,1,0,0
1,12,0,0,0,0,0.0,1,0.0,0,0,0,0,0,0
2,1,0,0,0,0,0.0,2,0.0,0,0,1,1,1,0
2,2,1,1,1,1,0.08,1,1.0,1,0,0,0,1,0
2,3,0,0,0,0,0.0,2,0.0,0,0,1,1,1,0
2,4,0,0,0,0,0.0,2,0.0,0,0,0,0,1,1
2,5,0,0,0,0,0.0,2,0.0,0,0,0,1,1,0
2,6,0,0,0,0,0.0,2,0.0,0,0,0,0,1,0
2,7,1,1,1,1,0.08,2,0.9330329915368074,0,0,0,1,0,0
2,8,0,0,0,0,0.0,2,0.0,0,0,1,0,0,0
2,9,1,1,1,1,0.08,1,1.0,1,0,0,1,0,1
2,10,1,1,1,1,0.08,2,0.9330329915368074,0,0,1,0,0,0
2,11,0,0,0,0,0.0,2,0.0,0,0,0,1,0,0
2,12,0,0,0,0,0.0,2,0.0,0,0,0,0,0,0
3,1,0,0,0,0,0.0,3,0.0,0,0,0,1,1,0
3,2,1,1,1,1,0.08,2,0.9330329915368074,1,0,0,0,1,0
3,3,0,0,0,0,0.0,3,0.0,0,0,1,1,1,1
3,4,1,1,1,1,0.08,1,1.0,1,0,0,0,1,0
3,5,0,0,0,0,0.0,3,0.0,0,0,1,1,1,1
3,6,0,0,0,0,0.0,3,0.0,0,0,0,0,1,0
3,7,1,1,1,1,0.08,3,0.8705505632961241,0,0,0,1,0,0
3,8,0,0,0,0,0.0,3,0.0,0,0,1,0,0,0
3,9,2,2,2,2,0.16,1,1.9330329915368074,1,0,0,1,0,0
3,10,1,1,1,1,0.08,3,0.8705505632961241,0,0,1,0,0,0
3,11,0,0,0,0,0.0,3,0.0,0,0,0,1,0,0
3,12,0,0,0,0,0.0,3,0.0,0,0,0,0,0,0
4,1,0,0,0,0,0.0,4,0.0,0,0,0,1,1,0
4,2,1,1,1,1,0.08,3,0.8705505632961241,0,0,1,0,1,0
4,3,1,1,1,1,0.08,1,1.0,1,0,0,1,1,0
4,4,1,1,1,1,0.08,2,0.9330329915368074,0,0,1,0,1,0
4,5,1,1,1,1,0.08,1,1.0,1,0,0,1,1,0
4,6,0,0,0,0,0.0,4,0.0,0,0,1,0,1,0
4,7,1,1,1,1,0.08,4,0.8122523963562355,0,0,0,1,0,1
4,8,0,0,0,0,0.0,4,0.0,0,0,0,0,0,1
4,9,2,2,2,2,0.16,2,1.8035835548329315,0,0,0,1,0,0
4,10,1,1,1,1,0.08,4,0.8122523963562355,0,0,0,0,0,0
4,11,0,0,0,0,0.0,4,0.0,0,0,0,1,0,0
4,12,0,0,0,0,0.0,4,0.0,0,0,0,0,0,0
5,1,0,0,0,0,0.0,5,0.0,0,0,0,1,1,0
5,2,1,1,1,1,0.08,4,0.8122523963562355,0,0,0,0,1,0
5,3,1,1,1,1,0.08,2,0.9330329915368074,0,0,0,1,1,0
5,4,1,1,1,1,0.08,3,0.8705505632961241,0,0,0,0,1,1
5,5,1,1,1,1,0.08,2,0.9330329915368074,0,0,0,1,1,0
5,6,0,0,0,0,0.0,5,0.0,0,0,1,0,1,0
5,7,2,2,2,2,0.16,1,1.757858283255199,1,0,1,1,0,0
5,8,1,1,1,1,0.08,1,1.0,1,0,1,0,0,1
5,9,2,2,2,2,0.16,3,1.6828029596523597,0,0,1,1,0,0
5,10,1,1,1,1,0.08,5,0.757858283255199,1,0,0,0,0,0
5,11,0,0,0,0,0.0,5,0.0,0,0,0,1,0,0
5,12,0,0,0,0,0.0,5,0.0,0,0,0,0,0,0
6,1,0,0,0,0,0.0,6,0.0,0,0,0,1,1,0
6,2,1,1,1,1,0.08,5,0.757858283255199,0,0,0,0,1,0
6,3,1,1,1,1,0.08,3,0.8705505632961241,0,0,1,1,1,0
6,4,2,2,2,2,0.16,1,1.8122523963562354,1,0,0,0,1,0
6,5,1,1,1,1,0.08,3,0.8705505632961241,0,0,1,1,1,0
6,6,0,0,0,0,0.0,6,0.0,0,0,0,0,1,0
6,7,2,2,2,2,0.16,2,1.6401397727233549,1,0,1,1,0,0
6,8,2,2,2,2,0.16,1,1.9330329915368074,1,0,0,0,0,0
6,9,2,2,2,2,0.16,4,1.5701106796114346,1,0,1,1,0,1
6,10,1,1,1,1,0.08,6,0.7071067811865475,0,0,0,0,0,1
6,11,0,0,0,0,0.0,6,0.0,0,0,0,1,0,0
6,12,0,0,0,0,0.0,6,0.0,0,0,0,0,0,0
7,1,0,0,0,0,0.0,7,0.0,0,0,0,1,1,0
7,2,1,1,1,1,0.08,6,0.7071067811865475,1,0,0,0,1,0
7,3,1,1,1,1,0.08,4,0.8122523963562355,0,0,0,1,1,0
7,4,2,2,2,2,0.16,2,1.6908912747920064,1,0,0,0,1,1
7,5,1,1,1,1,0.08,4,0.8122523963562355,0,0,0,1,1,0
7,6,0,0,0,0,0.0,7,0.0,0,0,0,0,1,0
7,7,2,2,2,2,0.16,3,1.5303045186825712,1,0,0,1,0,0
7,8,2,2,2,2,0.16,2,1.8035835548329315,0,0,1,0,0,0
7,9,3,3,3,3,0.24,1,2.4649650644417465,1,0,1,1,0,0
7,10,2,2,2,2,0.16,1,1.659753955386447,1,0,1,0,0,1
7,11,0,0,0,0,0.0,7,0.0,0,0,1,1,0,0
7,12,0,0,0,0,0.0,7,0.0,0,0,0,0,0,0
8,1,0,0,0,0,0.0,8,0.0,0,0,0,1,1,0
