bin,n,mean_predicted,actual_rate,model,pool
"(0.09920999999999999, 0.09974]",672,0.09967559695022671,0.09375,Logistic Regression,Main
"(0.09974, 0.09989]",905,0.09988511419574266,0.11049723756906077,Logistic Regression,Main
"(0.09989, 0.1]",1483,0.10002933966832235,0.08968307484828052,Logistic Regression,Main
"(0.1, 0.1002]",1325,0.1001737502139839,0.1079245283018868,Logistic Regression,Main
"(0.1002, 0.1003]",615,0.10031834600326714,0.0991869918699187,Logistic Regression,Main
"(0.07988200000000001, 0.095852]",1542,0.09431061026551704,0.10830090791180286,Random Forest,Main
"(0.095852, 0.10015]",455,0.10014785885055646,0.08571428571428572,Random Forest,Main
"(0.10015, 0.10138]",1483,0.10137989532377634,0.08968307484828052,Random Forest,Main
"(0.10138, 0.10143]",615,0.10142773136750217,0.0991869918699187,Random Forest,Main
"(0.10143, 0.10642]",905,0.10641826725831913,0.11049723756906077,Random Forest,Main
"(0.08007, 0.09618]",1525,0.09447649044203574,0.10885245901639344,Gradient Boosting,Main
"(0.09618, 0.1]",455,0.10004557672395124,0.08571428571428572,Gradient Boosting,Main
"(0.1, 0.1014]",615,0.10137239088350708,0.0991869918699187,Gradient Boosting,Main
"(0.1014, 0.1015]",1483,0.10149618261360639,0.08968307484828052,Gradient Boosting,Main
"(0.1015, 0.1062]",905,0.10624604644231499,0.11049723756906077,Gradient Boosting,Main
"(0.1062, 0.13]",17,0.1300056291293571,0.058823529411764705,Gradient Boosting,Main
"(0.0686, 0.0866]",900,0.08224863233352199,0.10333333333333333,Historical Frequency,Main
"(0.0866, 0.0934]",500,0.09134125636672326,0.102,Historical Frequency,Main
"(0.0934, 0.0968]",500,0.0964346349745331,0.11,Historical Frequency,Main
"(0.0968, 0.1]",900,0.09960384833050367,0.09222222222222222,Historical Frequency,Main
"(0.1, 0.104]",500,0.10254668930390493,0.076,Historical Frequency,Main
"(0.104, 0.107]",600,0.10582908885116016,0.09833333333333333,Historical Frequency,Main
"(0.107, 0.115]",600,0.11177136389360498,0.11166666666666666,Historical Frequency,Main
"(0.115, 0.126]",500,0.12122241086587436,0.108,Historical Frequency,Main
"(-0.000999, 0.05]",1940,0.03414980154639176,0.10515463917525773,Recent-N Frequency,Main
"(0.05, 0.1]",1483,0.1,0.08968307484828052,Recent-N Frequency,Main
"(0.1, 0.15]",905,0.15,0.11049723756906077,Recent-N Frequency,Main
"(0.15, 0.2]",455,0.2,0.08571428571428572,Recent-N Frequency,Main
"(0.2, 0.35]",217,0.2705069124423963,0.11059907834101383,Recent-N Frequency,Main
"(0.138, 0.154]",200,0.1458750329885579,0.13,Logistic Regression,Euro
"(0.154, 0.155]",231,0.15523090969226636,0.1471861471861472,Logistic Regression,Euro
"(0.155, 0.164]",262,0.16363353554248122,0.15267175572519084,Logistic Regression,Euro
"(0.164, 0.172]",214,0.17239817321558573,0.16355140186915887,Logistic Regression,Euro
"(0.172, 0.182]",134,0.18153037374423237,0.208955223880597,Logistic Regression,Euro
"(0.182, 0.222]",159,0.19769478286129236,0.23270440251572327,Logistic Regression,Euro
"(0.052599999999999994, 0.1719]",374,0.1574012619709118,0.17379679144385027,Random Forest,Euro
"(0.1719, 0.175]",81,0.17501326888593632,0.24691358024691357,Random Forest,Euro
"(0.175, 0.1768]",231,0.17682246901443097,0.1471861471861472,Random Forest,Euro
"(0.1768, 0.1814]",214,0.1814295539077725,0.16355140186915887,Random Forest,Euro
"(0.1814, 0.1815]",134,0.1814847544566523,0.208955223880597,Random Forest,Euro
"(0.1815, 0.1839]",166,0.18390716793661008,0.10843373493975904,Random Forest,Euro
"(0.0525, 0.172]",371,0.1561539396110175,0.1752021563342318,Gradient Boosting,Euro
"(0.172, 0.175]",81,0.17539653878442535,0.24691358024691357,Gradient Boosting,Euro
"(0.175, 0.177]",231,0.17745596854679607,0.1471861471861472,Gradient Boosting,Euro
"(0.177, 0.181]",348,0.1813716856058028,0.1810344827586207,Gradient Boosting,Euro
"(0.181, 0.288]",169,0.18490901244419491,0.10650887573964497,Gradient Boosting,Euro
"(0.0907, 0.145]",200,0.10356536502546689,0.135,Historical Frequency,Euro
"(0.145, 0.167]",200,0.15619694397283532,0.19,Historical Frequency,Euro
"(0.167, 0.179]",200,0.1731748726655348,0.15,Historical Frequency,Euro
"(0.179, 0.187]",300,0.18505942275042445,0.21666666666666667,Historical Frequency,Euro
"(0.187, 0.189]",100,0.18845500848896435,0.19,Historical Frequency,Euro
"(0.189, 0.199]",200,0.19524617996604413,0.105,Historical Frequency,Euro
"(-0.000999, 0.0917]",200,0.04150017,0.13,Recent-N Frequency,Euro
"(0.0917, 0.1]",231,0.1,0.1471861471861472,Recent-N Frequency,Euro
"(0.1, 0.15]",262,0.15,0.15267175572519084,Recent-N Frequency,Euro
"(0.15, 0.2]",214,0.2,0.16355140186915887,Recent-N Frequency,Euro
"(0.2, 0.25]",134,0.25,0.208955223880597,Recent-N Frequency,Euro
"(0.25, 0.45]",159,0.3333333333333333,0.23270440251572327,Recent-N Frequency,Euro
